NT	PI	CH	T
8 3.137160 1 0.031765
7 3.134160 1 0.029260
6 3.142880 1 0.029735
5 3.155400 1 0.027072
4 3.149840 1 0.023106
3 3.142600 1 0.018389
2 3.140520 1 0.024269
1 3.139520 1 0.003488
8 3.147040 101 0.027726
7 3.139160 101 0.028505
6 3.147000 101 0.028950
5 3.137320 101 0.024543
4 3.148280 101 0.021782
3 3.133520 101 0.022646
2 3.142440 101 0.017264
1 3.143320 101 0.002859
8 3.143760 201 0.027384
7 3.135880 201 0.028502
6 3.140880 201 0.028909
5 3.141120 201 0.025067
4 3.141880 201 0.021285
3 3.136920 201 0.022667
2 3.145840 201 0.019650
1 3.138720 201 0.002839
8 3.132920 301 0.027440
7 3.134560 301 0.028520
6 3.137760 301 0.028809
5 3.138280 301 0.025711
4 3.133280 301 0.017997
3 3.146800 301 0.022246
2 3.150160 301 0.016569
1 3.144480 301 0.002854
8 3.140400 401 0.027282
7 3.147760 401 0.028428
6 3.139200 401 0.028506
5 3.147440 401 0.025125
4 3.136000 401 0.020646
3 3.135560 401 0.017178
2 3.146760 401 0.008199
1 3.136920 401 0.003068
8 3.137760 501 0.027297
7 3.139960 501 0.028786
6 3.134520 501 0.029634
5 3.142360 501 0.023499
4 3.147880 501 0.021749
3 3.141960 501 0.022156
2 3.137560 501 0.017136
1 3.135240 501 0.002847
8 3.135600 601 0.027475
7 3.136840 601 0.027981
6 3.138680 601 0.026620
5 3.139720 601 0.023925
4 3.145160 601 0.021190
3 3.135400 601 0.022697
2 3.145320 601 0.016870
1 3.145160 601 0.002901
8 3.141160 701 0.027484
7 3.143400 701 0.028527
6 3.138640 701 0.028804
5 3.143120 701 0.025249
4 3.136920 701 0.018200
3 3.147600 701 0.022675
2 3.140120 701 0.022804
1 3.139200 701 0.002848
8 3.145520 801 0.027746
7 3.144200 801 0.028246
6 3.146680 801 0.028557
5 3.142840 801 0.025293
4 3.139320 801 0.018604
3 3.141160 801 0.022912
2 3.140320 801 0.021250
1 3.145040 801 0.002851
8 3.148760 901 0.027388
7 3.129280 901 0.028472
6 3.137920 901 0.028223
5 3.132960 901 0.024878
4 3.143680 901 0.020816
3 3.145280 901 0.017750
2 3.149240 901 0.040499
1 3.148960 901 0.002880
8 3.143880 1001 0.027412
7 3.144680 1001 0.028275
6 3.139040 1001 0.028954
5 3.126840 1001 0.026587
4 3.134200 1001 0.019863
3 3.146040 1001 0.020177
2 3.146600 1001 0.020513
1 3.135040 1001 0.002805
8 3.136240 1101 0.029566
7 3.146080 1101 0.030775
6 3.149560 1101 0.030732
5 3.135320 1101 0.026624
4 3.135400 1101 0.018214
3 3.136120 1101 0.022770
2 3.145200 1101 0.016813
1 3.148720 1101 0.002851
8 3.144080 1201 0.029336
7 3.135080 1201 0.030089
6 3.142520 1201 0.030685
5 3.139480 1201 0.026696
4 3.140200 1201 0.018948
3 3.145240 1201 0.022495
2 3.139440 1201 0.020038
1 3.148960 1201 0.002805
8 3.137080 1301 0.029556
7 3.145760 1301 0.030486
6 3.146560 1301 0.031131
5 3.136720 1301 0.026128
4 3.136280 1301 0.021060
3 3.139320 1301 0.016995
2 3.152240 1301 0.023232
1 3.147760 1301 0.002882
8 3.145640 1401 0.029019
7 3.135320 1401 0.030559
6 3.141240 1401 0.030030
5 3.143760 1401 0.026521
4 3.148720 1401 0.018554
3 3.143960 1401 0.022310
2 3.143680 1401 0.017745
1 3.147600 1401 0.002850
8 3.142160 1501 0.029172
7 3.136800 1501 0.030401
6 3.147120 1501 0.030241
5 3.151240 1501 0.026719
4 3.126280 1501 0.018658
3 3.153920 1501 0.022897
2 3.146200 1501 0.018087
1 3.141720 1501 0.002882
8 3.140920 1601 0.028624
7 3.138480 1601 0.030379
6 3.142200 1601 0.030405
5 3.128320 1601 0.026771
4 3.142960 1601 0.018684
3 3.137760 1601 0.022479
2 3.150160 1601 0.017431
1 3.135440 1601 0.002835
