NT	PI	CH	T
8 3.135560 1 0.038811
7 3.133720 1 0.028490
6 3.143880 1 0.023257
5 3.138480 1 0.022024
4 3.142320 1 0.019995
3 3.149240 1 0.021032
2 3.147000 1 0.028012
1 3.136000 1 0.003129
8 3.141760 101 0.022964
7 3.146480 101 0.022220
6 3.149920 101 0.022256
5 3.145200 101 0.021909
4 3.140920 101 0.017600
3 3.140720 101 0.019408
2 3.149280 101 0.029472
1 3.142040 101 0.002916
8 3.130400 201 0.035726
7 3.144400 201 0.021947
6 3.141600 201 0.021690
5 3.142640 201 0.022307
4 3.142080 201 0.020228
3 3.149040 201 0.019042
2 3.147200 201 0.034840
1 3.139080 201 0.002980
8 3.137160 301 0.022540
7 3.151440 301 0.022346
6 3.147560 301 0.021906
5 3.143320 301 0.021526
4 3.130120 301 0.020056
3 3.140720 301 0.019089
2 3.136400 301 0.032896
1 3.145640 301 0.003059
8 3.144960 401 0.022750
7 3.132760 401 0.022105
6 3.144800 401 0.022917
5 3.140680 401 0.022945
4 3.141000 401 0.020172
3 3.144320 401 0.022660
2 3.138240 401 0.034126
1 3.143000 401 0.002911
8 3.137280 501 0.034566
7 3.135400 501 0.024246
6 3.138920 501 0.023383
5 3.147440 501 0.023620
4 3.134080 501 0.019741
3 3.145160 501 0.018677
2 3.142480 501 0.036486
1 3.148400 501 0.002880
8 3.144920 601 0.024694
7 3.149400 601 0.030236
6 3.142240 601 0.023244
5 3.147240 601 0.022264
4 3.141320 601 0.021475
3 3.135320 601 0.018117
2 3.139440 601 0.023388
1 3.148680 601 0.002941
8 3.145120 701 0.021905
7 3.139360 701 0.023686
6 3.138760 701 0.024628
5 3.143320 701 0.023628
4 3.150440 701 0.020458
3 3.133840 701 0.019196
2 3.146600 701 0.038451
1 3.140400 701 0.003008
8 3.140360 801 0.023319
7 3.147640 801 0.026956
6 3.141160 801 0.023000
5 3.143000 801 0.022067
4 3.135560 801 0.018644
3 3.138320 801 0.020311
2 3.143880 801 0.037976
1 3.147120 801 0.002932
8 3.145200 901 0.030470
7 3.141520 901 0.024571
6 3.155520 901 0.025026
5 3.141640 901 0.023757
4 3.136840 901 0.020412
3 3.155400 901 0.018372
2 3.150520 901 0.035949
1 3.142360 901 0.002920
8 3.145720 1001 0.029277
7 3.143120 1001 0.025873
6 3.143840 1001 0.024704
5 3.150480 1001 0.023352
4 3.139040 1001 0.018903
3 3.145440 1001 0.021074
2 3.142600 1001 0.034370
1 3.133600 1001 0.003262
8 3.137640 1101 0.025189
7 3.146320 1101 0.025932
6 3.146040 1101 0.027007
5 3.136600 1101 0.022669
4 3.140800 1101 0.020029
3 3.138400 1101 0.019681
2 3.136320 1101 0.035534
1 3.150400 1101 0.002949
8 3.149520 1201 0.029238
7 3.145000 1201 0.025130
6 3.143880 1201 0.023492
5 3.141520 1201 0.022862
4 3.128880 1201 0.020594
3 3.145960 1201 0.017340
2 3.139280 1201 0.024956
1 3.139640 1201 0.003013
8 3.139080 1301 0.023930
7 3.142800 1301 0.024153
6 3.139120 1301 0.024029
5 3.144680 1301 0.023231
4 3.130440 1301 0.020667
3 3.132240 1301 0.017318
2 3.139760 1301 0.036480
1 3.142440 1301 0.003029
8 3.141080 1401 0.026600
7 3.134840 1401 0.037546
6 3.136240 1401 0.029747
5 3.132640 1401 0.023065
4 3.146320 1401 0.018947
3 3.139320 1401 0.021864
2 3.135640 1401 0.028285
1 3.148400 1401 0.003841
8 3.132680 1501 0.025603
7 3.147400 1501 0.031560
6 3.145680 1501 0.024371
5 3.138560 1501 0.022734
4 3.132920 1501 0.019943
3 3.149280 1501 0.021550
2 3.141280 1501 0.032487
1 3.135160 1501 0.002991
8 3.142640 1601 0.026147
7 3.153000 1601 0.023710
6 3.142760 1601 0.024214
5 3.136320 1601 0.023445
4 3.129040 1601 0.021246
3 3.134920 1601 0.021459
2 3.142280 1601 0.035787
1 3.133080 1601 0.002899
8 3.131680 1701 0.026439
7 3.132480 1701 0.024656
6 3.143360 1701 0.025340
5 3.141400 1701 0.023418
4 3.138600 1701 0.022815
